GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
learningjavamaven,com.wizeline.learningjavamaven.model.tiposNotificacion,EmailNotification,0,7,0,0,0,3,0,2,0,2
learningjavamaven,com.wizeline.learningjavamaven.model.tiposNotificacion,WhatsNotification,0,7,0,0,0,3,0,2,0,2
learningjavamaven,com.wizeline.learningjavamaven.model.tiposNotificacion,PushNotification,0,7,0,0,0,3,0,2,0,2
learningjavamaven,com.wizeline.learningjavamaven.model.tiposNotificacion,SMSNotification,0,7,0,0,0,3,0,2,0,2
learningjavamaven,com.wizeline.learningjavamaven.model.tiposNotificacion,Notification,0,4,0,0,0,1,0,1,0,1
learningjavamaven,com.wizeline.learningjavamaven.consumer,KafkaConsumer,0,9,0,0,0,3,0,2,0,2
learningjavamaven,com.wizeline.learningjavamaven.patron.factory,NotificationFactory,0,40,0,9,0,9,0,8,0,2
learningjavamaven,com.wizeline.learningjavamaven.controller,UserController,4,304,1,3,1,64,1,13,0,12
learningjavamaven,com.wizeline.learningjavamaven.controller,BankingAccountController,0,464,0,10,0,102,0,18,0,13
learningjavamaven,com.wizeline.learningjavamaven.controller,JAXBController,3,88,0,0,2,19,0,5,0,5
learningjavamaven,com.wizeline.learningjavamaven.controller,ConsultaUsuarioController,0,15,0,0,0,4,0,4,0,4
learningjavamaven,com.wizeline.learningjavamaven.controller,BatchController,3,27,0,0,2,6,0,2,0,2
learningjavamaven,com.wizeline.learningjavamaven.controller,AuthenticationController,0,66,0,0,0,14,0,2,0,2
learningjavamaven,com.wizeline.learningjavamaven.controller,ExceptionHandlerAdvice,0,9,0,0,0,2,0,2,0,2
learningjavamaven,com.wizeline.learningjavamaven.batch,BankAccountJob,0,96,0,0,0,19,0,7,0,7
learningjavamaven,com.wizeline.learningjavamaven.batch,UserProcessor,0,16,0,0,0,5,0,3,0,3
learningjavamaven,com.wizeline.learningjavamaven.batch,BatchJobCompletionListener,0,33,0,2,0,6,0,4,0,3
learningjavamaven,com.wizeline.learningjavamaven.batch,UserReader,0,59,0,0,0,9,0,3,0,3
learningjavamaven,com.wizeline.learningjavamaven.batch,BankAccountItemProcessor,0,29,0,0,0,7,0,3,0,3
learningjavamaven,com.wizeline.learningjavamaven.batch,UserJob,0,44,0,0,0,12,0,3,0,3
learningjavamaven,com.wizeline.learningjavamaven.batch,UserWriter,0,26,0,2,0,8,0,4,0,3
learningjavamaven,com.wizeline.learningjavamaven.patron.Iterator,UserDateDTOCollectionImpl,6,21,0,0,2,6,1,3,1,3
learningjavamaven,com.wizeline.learningjavamaven.patron.Iterator,IteratorImpl,0,54,0,4,0,14,0,5,0,3
learningjavamaven,com.wizeline.learningjavamaven.utils,Utils,0,89,0,2,0,23,0,11,0,10
learningjavamaven,com.wizeline.learningjavamaven.utils,CommonServices,0,9,0,0,0,2,0,2,0,2
learningjavamaven,com.wizeline.learningjavamaven.enums,Country,0,34,0,0,0,2,0,1,0,1
learningjavamaven,com.wizeline.learningjavamaven.enums,AccountType,0,34,0,0,0,2,0,1,0,1
learningjavamaven,com.wizeline.learningjavamaven.model.detalle,UserData,3,21,0,0,1,9,1,6,1,6
learningjavamaven,com.wizeline.learningjavamaven.model.detalle,UserDescription.Address.GEO,6,11,0,0,2,5,2,3,2,3
learningjavamaven,com.wizeline.learningjavamaven.model.detalle,UserDescription.Company,9,15,0,0,3,7,3,4,3,4
learningjavamaven,com.wizeline.learningjavamaven.model.detalle,UserDescription,9,22,0,0,3,10,3,6,3,6
learningjavamaven,com.wizeline.learningjavamaven.model.detalle,UserDescription.Address,16,22,0,0,6,10,5,6,5,6
learningjavamaven,com.wizeline.learningjavamaven.configuration,SecurityConfig,0,95,0,0,0,13,0,4,0,4
learningjavamaven,com.wizeline.learningjavamaven.configuration,KafkaConfiguration,0,148,0,0,0,30,0,8,0,8
learningjavamaven,com.wizeline.learningjavamaven.configuration,JwtTokenConfig,63,7,0,0,20,2,2,2,2,2
learningjavamaven,com.wizeline.learningjavamaven.configuration,OpenAPIConfiguration,0,35,0,0,0,12,0,2,0,2
learningjavamaven,com.wizeline.learningjavamaven.configuration,BatchConfiguration,0,41,0,0,0,12,0,3,0,3
learningjavamaven,com.wizeline.learningjavamaven.configuration,JwtTokenFilter,35,54,1,5,9,15,3,6,2,4
learningjavamaven,com.wizeline.learningjavamaven.service,NotificacionThread,6,60,0,0,2,18,0,4,0,4
learningjavamaven,com.wizeline.learningjavamaven.service,UserServiceImpl,0,374,0,20,0,88,0,20,0,10
learningjavamaven,com.wizeline.learningjavamaven.service,ConsultaUsuarioServiceImpl.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
learningjavamaven,com.wizeline.learningjavamaven.service,ConsultaUsuarioServiceImpl.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
learningjavamaven,com.wizeline.learningjavamaven.service,ValidarCodigo,0,17,0,0,0,1,0,1,0,1
learningjavamaven,com.wizeline.learningjavamaven.service,BankAccountServiceImpl,48,427,0,6,16,78,0,16,0,13
learningjavamaven,com.wizeline.learningjavamaven.service,ConsultaUsuarioServiceImpl,0,167,0,2,0,30,0,8,0,7
learningjavamaven,com.wizeline.learningjavamaven.service,ValidarCodigoSimple,0,14,0,0,0,3,0,2,0,2
learningjavamaven,com.wizeline.learningjavamaven.model,ResponseDTO.ErrorDTO,17,9,0,0,8,4,5,1,5,1
learningjavamaven,com.wizeline.learningjavamaven.model,BankAccountDTO,13,53,0,0,5,23,4,15,4,15
learningjavamaven,com.wizeline.learningjavamaven.model,ResponseDTO,3,21,0,0,1,9,1,6,1,6
learningjavamaven,com.wizeline.learningjavamaven.model,UserDTO,0,35,0,0,0,11,0,6,0,6
learningjavamaven,com.wizeline.learningjavamaven.model,Post,7,24,0,0,3,10,2,7,2,7
learningjavamaven,com.wizeline.learningjavamaven.model,AccountInsertDTO,16,27,0,0,8,10,4,5,4,5
learningjavamaven,com.wizeline.learningjavamaven.model,UserDateDTO,6,30,0,0,2,14,2,6,2,6
learningjavamaven,com.wizeline.learningjavamaven.model,XmlBean,3,7,0,0,1,3,1,2,1,2
